_name_key,name_en,source,external_source_id,source_category,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g
cheese dry white queso seco,"Cheese, dry white, queso seco",USDA_FDC_SR_LEGACY,1227,Dairy and Egg Products,EGGS,325.0,24.51,2.04,24.35
cheese mozzarella low moisture part skim,"Cheese, mozzarella, low moisture, part-skim",USDA_FDC_FOUNDATION,1029,Dairy and Egg Products,EGGS,298.0,23.7,4.44,20.4
cheese mozzarella low moisture part skim,"Cheese, mozzarella, low moisture, part-skim",USDA_FDC_SR_LEGACY,1029,Dairy and Egg Products,EGGS,295.0,23.75,5.58,19.78
cheese parmesan grated,"Cheese, parmesan, grated",USDA_FDC_FOUNDATION,1032,Dairy and Egg Products,EGGS,420.0,29.6,12.4,28.0
cheese parmesan grated,"Cheese, parmesan, grated",USDA_FDC_SR_LEGACY,1032,Dairy and Egg Products,EGGS,420.0,28.42,13.91,27.84
cheese ricotta whole milk,"Cheese, ricotta, whole milk",USDA_FDC_FOUNDATION,323444,Dairy and Egg Products,EGGS,157.0,7.81,6.86,11.0
cheese ricotta whole milk,"Cheese, ricotta, whole milk",USDA_FDC_FOUNDATION,1036,Dairy and Egg Products,EGGS,157.0,7.81,6.86,11.0
cheese ricotta whole milk,"Cheese, ricotta, whole milk",USDA_FDC_SR_LEGACY,1036,Dairy and Egg Products,EGGS,150.0,7.54,7.27,10.18
cheese swiss,"Cheese, swiss",USDA_FDC_FOUNDATION,326135,Dairy and Egg Products,EGGS,393.0,27.0,1.44,31.0
cheese swiss,"Cheese, swiss",USDA_FDC_FOUNDATION,1040,Dairy and Egg Products,EGGS,393.0,27.0,1.44,31.0
cheese swiss,"Cheese, swiss",USDA_FDC_SR_LEGACY,1040,Dairy and Egg Products,EGGS,393.0,26.96,1.44,30.99
chicken broiler or fryers breast skinless boneless meat only cooked braised,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",USDA_FDC_FOUNDATION,5746,Poultry Products,POULTRY,166.0,32.1,0.0,3.24
chicken broiler or fryers breast skinless boneless meat only cooked braised,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",USDA_FDC_SR_LEGACY,5746,Poultry Products,POULTRY,157.0,32.06,0.0,3.24
collards raw,"Collards, raw",USDA_FDC_FOUNDATION,11161,Vegetables and Vegetable Products,VEGETABLE,38.76,2.97,7.02,0.77
collards raw,"Collards, raw",USDA_FDC_SR_LEGACY,11161,Vegetables and Vegetable Products,VEGETABLE,32.0,3.02,5.42,0.61
cucumber with peel raw,"Cucumber, with peel, raw",USDA_FDC_FOUNDATION,11205,Vegetables and Vegetable Products,VEGETABLE,13.93,0.62,2.95,0.18
cucumber with peel raw,"Cucumber, with peel, raw",USDA_FDC_SR_LEGACY,11205,Vegetables and Vegetable Products,VEGETABLE,15.0,0.65,3.63,0.11
egg white dried,"Egg, white, dried",USDA_FDC_FOUNDATION,1173,Dairy and Egg Products,EGGS,376.0,79.9,6.02,0.65
egg white dried,"Egg, white, dried",USDA_FDC_SR_LEGACY,1173,Dairy and Egg Products,EGGS,382.0,81.1,7.8,0.0
egg white raw frozen pasteurized,"Egg, white, raw, frozen, pasteurized",USDA_FDC_FOUNDATION,1172,Dairy and Egg Products,EGGS,48.0,10.1,0.74,0.16
egg white raw frozen pasteurized,"Egg, white, raw, frozen, pasteurized",USDA_FDC_SR_LEGACY,1172,Dairy and Egg Products,EGGS,48.0,10.2,1.04,0.0
egg whole dried,"Egg, whole, dried",USDA_FDC_FOUNDATION,1133,Dairy and Egg Products,EGGS,576.0,48.1,1.87,39.8
egg whole dried,"Egg, whole, dried",USDA_FDC_SR_LEGACY,1133,Dairy and Egg Products,EGGS,592.0,48.05,1.13,43.9
egg yolk dried,"Egg, yolk, dried",USDA_FDC_FOUNDATION,1137,Dairy and Egg Products,EGGS,654.0,34.2,1.07,55.5
egg yolk dried,"Egg, yolk, dried",USDA_FDC_SR_LEGACY,1137,Dairy and Egg Products,EGGS,669.0,33.63,0.66,59.13
egg yolk raw frozen pasteurized,"Egg, yolk, raw, frozen, pasteurized",USDA_FDC_FOUNDATION,1126,Dairy and Egg Products,EGGS,297.0,15.6,0.59,25.1
egg yolk raw frozen pasteurized,"Egg, yolk, raw, frozen, pasteurized",USDA_FDC_SR_LEGACY,1126,Dairy and Egg Products,EGGS,296.0,15.53,0.81,25.6
eggplant raw,"Eggplant, raw",USDA_FDC_FOUNDATION,11209,Vegetables and Vegetable Products,VEGETABLE,22.36,0.85,5.4,0.12
eggplant raw,"Eggplant, raw",USDA_FDC_SR_LEGACY,11209,Vegetables and Vegetable Products,VEGETABLE,25.0,0.98,5.88,0.18
fennel bulb raw,"Fennel, bulb, raw",USDA_FDC_FOUNDATION,11957,Vegetables and Vegetable Products,VEGETABLE,26.89,0.92,5.49,0.14
fennel bulb raw,"Fennel, bulb, raw",USDA_FDC_SR_LEGACY,11957,Vegetables and Vegetable Products,VEGETABLE,31.0,1.24,7.3,0.2
figs dried uncooked,"Figs, dried, uncooked",USDA_FDC_FOUNDATION,326905,Fruits and Fruit Juices,FRUIT,249.0,3.3,63.9,0.92
figs dried uncooked,"Figs, dried, uncooked",USDA_FDC_FOUNDATION,9094,Fruits and Fruit Juices,FRUIT,249.0,3.3,63.9,0.92
figs dried uncooked,"Figs, dried, uncooked",USDA_FDC_SR_LEGACY,9094,Fruits and Fruit Juices,FRUIT,249.0,3.3,63.87,0.93
fish haddock raw,"Fish, haddock, raw",USDA_FDC_FOUNDATION,15033,Finfish and Shellfish Products,SEAFOOD,74.0,16.3,0.0,0.45
fish haddock raw,"Fish, haddock, raw",USDA_FDC_SR_LEGACY,15033,Finfish and Shellfish Products,SEAFOOD,74.0,16.32,0.0,0.45
frankfurter beef unheated,"Frankfurter, beef, unheated",USDA_FDC_FOUNDATION,7022,Sausages and Luncheon Meats,MEAT,314.0,11.7,2.89,28.0
frankfurter beef unheated,"Frankfurter, beef, unheated",USDA_FDC_SR_LEGACY,7022,Sausages and Luncheon Meats,MEAT,315.0,11.69,2.97,28.1
garlic raw,"Garlic, raw",USDA_FDC_FOUNDATION,11215,Vegetables and Vegetable Products,VEGETABLE,130.0,6.62,28.2,0.38
garlic raw,"Garlic, raw",USDA_FDC_SR_LEGACY,11215,Vegetables and Vegetable Products,VEGETABLE,149.0,6.36,33.06,0.5
grapefruit juice white canned or bottled unsweetened,"Grapefruit juice, white, canned or bottled, unsweetened",USDA_FDC_FOUNDATION,9123,Fruits and Fruit Juices,FRUIT,37.0,0.55,7.59,0.7
grapefruit juice white canned or bottled unsweetened,"Grapefruit juice, white, canned or bottled, unsweetened",USDA_FDC_SR_LEGACY,9123,Fruits and Fruit Juices,FRUIT,37.0,0.55,7.54,0.66
grapes green seedless raw,"Grapes, green, seedless, raw",USDA_FDC_FOUNDATION,2263891,Fruits and Fruit Juices,FRUIT,71.94,0.9,18.6,0.23
grapes green seedless raw,"Grapes, green, seedless, raw",USDA_FDC_FOUNDATION,100280,Fruits and Fruit Juices,FRUIT,71.94,0.9,18.6,0.23
grapes red seedless raw,"Grapes, red, seedless, raw",USDA_FDC_FOUNDATION,2263890,Fruits and Fruit Juices,FRUIT,77.15,0.91,20.2,0.16
grapes red seedless raw,"Grapes, red, seedless, raw",USDA_FDC_FOUNDATION,100279,Fruits and Fruit Juices,FRUIT,77.15,0.91,20.2,0.16
ham sliced pre packaged deli meat 96 fat free water added,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",USDA_FDC_FOUNDATION,7028,Sausages and Luncheon Meats,MEAT,106.0,16.7,0.27,3.73
ham sliced pre packaged deli meat 96 fat free water added,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",USDA_FDC_SR_LEGACY,7028,Sausages and Luncheon Meats,MEAT,107.0,16.85,0.7,4.04
hummus commercial,"Hummus, commercial",USDA_FDC_FOUNDATION,16158,Legumes and Legume Products,LEGUMES,229.0,7.35,14.9,17.1
hummus commercial,"Hummus, commercial",USDA_FDC_SR_LEGACY,16158,Legumes and Legume Products,LEGUMES,237.0,7.78,15.0,17.82
kale frozen cooked boiled drained without salt,"Kale, frozen, cooked, boiled, drained, without salt",USDA_FDC_FOUNDATION,11236,Vegetables and Vegetable Products,VEGETABLE,36.0,2.94,5.3,1.21
kale frozen cooked boiled drained without salt,"Kale, frozen, cooked, boiled, drained, without salt",USDA_FDC_SR_LEGACY,11236,Vegetables and Vegetable Products,VEGETABLE,36.0,2.94,5.3,1.21
kale raw,"Kale, raw",USDA_FDC_FOUNDATION,11233,Vegetables and Vegetable Products,VEGETABLE,35.0,2.92,4.42,1.49
kale raw,"Kale, raw",USDA_FDC_SR_LEGACY,11233,Vegetables and Vegetable Products,VEGETABLE,35.0,2.92,4.42,1.49
kiwifruit green raw,"Kiwifruit, green, raw",USDA_FDC_FOUNDATION,9148,Fruits and Fruit Juices,FRUIT,58.0,1.06,14.0,0.44
kiwifruit green raw,"Kiwifruit, green, raw",USDA_FDC_SR_LEGACY,9148,Fruits and Fruit Juices,FRUIT,61.0,1.14,14.66,0.52
lettuce cos or romaine raw,"Lettuce, cos or romaine, raw",USDA_FDC_FOUNDATION,327923,Vegetables and Vegetable Products,VEGETABLE,17.0,1.24,3.24,0.26
