name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason,_kept_source,_kept_external_source_id,_kept_name_en
"Nuts, cashew nuts, raw",,,NUTS_SEEDS,553.0,18.22,30.19,43.85,,USDA_FDC_SR_LEGACY,12087,2018-04,True,,nuts cashew nuts raw,3,,USDA_FDC_FOUNDATION,12087,"Nuts, cashew nuts, raw"
"Nuts, macadamia nuts, raw",,,NUTS_SEEDS,718.0,7.91,13.82,75.77,,USDA_FDC_SR_LEGACY,12131,2018-04,True,,nuts macadamia nuts raw,3,,USDA_FDC_FOUNDATION,12131,"Nuts, macadamia nuts, raw"
"Nuts, pistachio nuts, raw",,,NUTS_SEEDS,560.0,20.16,27.17,45.32,,USDA_FDC_SR_LEGACY,12151,2018-04,True,,nuts pistachio nuts raw,3,,USDA_FDC_FOUNDATION,12151,"Nuts, pistachio nuts, raw"
"Cheese, dry white, queso seco",,,EGGS,326.0,24.5,2.07,24.3,,USDA_FDC_FOUNDATION,329830,2026-04-30,True,,cheese dry white queso seco,1,,USDA_FDC_FOUNDATION,1227,"Cheese, dry white, queso seco"
"Cheese, dry white, queso seco",,,EGGS,325.0,24.51,2.04,24.35,,USDA_FDC_SR_LEGACY,1227,2018-04,True,,cheese dry white queso seco,3,,USDA_FDC_FOUNDATION,1227,"Cheese, dry white, queso seco"
"Seeds, sunflower seed kernels, dry roasted, with salt added",,,NUTS_SEEDS,582.0,19.33,24.07,49.8,,USDA_FDC_SR_LEGACY,12537,2018-04,True,,seeds sunflower seed kernels dry roasted with salt added,3,,USDA_FDC_FOUNDATION,12537,"Seeds, sunflower seed kernels, dry roasted, with salt added"
"Nuts, almonds, dry roasted, with salt added",,,NUTS_SEEDS,598.0,20.96,21.01,52.54,,USDA_FDC_SR_LEGACY,12563,2018-04,True,,nuts almonds dry roasted with salt added,3,,USDA_FDC_FOUNDATION,12563,"Nuts, almonds, dry roasted, with salt added"
"Yogurt, Greek, strawberry, nonfat",,,EGGS,82.0,8.05,12.07,0.15,,USDA_FDC_SR_LEGACY,1285,2018-04,True,,yogurt greek strawberry nonfat,3,,USDA_FDC_FOUNDATION,1285,"Yogurt, Greek, strawberry, nonfat"
"Yogurt, Greek, plain, whole milk",,,EGGS,97.0,9.0,3.98,5.0,,USDA_FDC_SR_LEGACY,1293,2018-04,True,,yogurt greek plain whole milk,3,,USDA_FDC_FOUNDATION,1293,"Yogurt, Greek, plain, whole milk"
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",,,MEAT,219.0,27.3,0.0,11.4,,USDA_FDC_FOUNDATION,335061,2026-04-30,True,,beef short loin t bone steak bone in separable lean only trimmed to 1 8 fat choice cooked grilled,1,,USDA_FDC_FOUNDATION,13236,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",,,MEAT,217.0,27.48,0.0,11.05,,USDA_FDC_SR_LEGACY,13236,2018-04,True,,beef short loin t bone steak bone in separable lean only trimmed to 1 8 fat choice cooked grilled,3,,USDA_FDC_FOUNDATION,13236,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",,,MEAT,145.0,22.7,0.0,5.32,,USDA_FDC_FOUNDATION,335109,2026-04-30,True,,beef short loin porterhouse steak separable lean only trimmed to 1 8 fat select raw,1,,USDA_FDC_FOUNDATION,13468,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",,,MEAT,145.0,22.61,0.0,5.41,,USDA_FDC_SR_LEGACY,13468,2018-04,True,,beef short loin porterhouse steak separable lean only trimmed to 1 8 fat select raw,3,,USDA_FDC_FOUNDATION,13468,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
"Almond milk, unsweetened, plain, shelf stable",,,BEVERAGES,14.56,0.55,0.34,1.22,,USDA_FDC_FOUNDATION,1750338,2026-04-30,True,,almond milk unsweetened plain shelf stable,1,,USDA_FDC_FOUNDATION,14091,"Almond milk, unsweetened, plain, shelf stable"
"Fish, haddock, raw",,,SEAFOOD,74.0,16.32,0.0,0.45,,USDA_FDC_SR_LEGACY,15033,2018-04,True,,fish haddock raw,3,,USDA_FDC_FOUNDATION,15033,"Fish, haddock, raw"
"Hummus, commercial",,,LEGUMES,237.0,7.78,15.0,17.82,,USDA_FDC_SR_LEGACY,16158,2018-04,True,,hummus commercial,3,,USDA_FDC_FOUNDATION,16158,"Hummus, commercial"
