name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason
"Sauce, sweet and sour, ready-to-serve",,,MIXED_DISHES,154.0,0.27,38.22,0.02,,USDA_FDC_SR_LEGACY,27050,2018-04,True,,sauce sweet and sour ready to serve,3,
"Sauce, cocktail, ready-to-serve",,,MIXED_DISHES,128.0,1.36,28.22,1.05,,USDA_FDC_SR_LEGACY,27051,2018-04,True,,sauce cocktail ready to serve,3,
"Dip, salsa con queso, cheese and salsa- medium",,,MIXED_DISHES,143.0,3.14,11.14,9.51,,USDA_FDC_SR_LEGACY,27052,2018-04,True,,dip salsa con queso cheese and salsa medium,3,
"Dip, TOSTITOS, salsa con queso, medium",,,MIXED_DISHES,133.0,2.92,11.72,8.26,,USDA_FDC_SR_LEGACY,27054,2018-04,True,,dip tostitos salsa con queso medium,3,
"Sauce, peanut, made from peanut butter, water, soy sauce",,,MIXED_DISHES,257.0,6.31,22.02,16.02,,USDA_FDC_SR_LEGACY,27059,2018-04,True,,sauce peanut made from peanut butter water soy sauce,3,
"Soup, chunky vegetable, reduced sodium, canned, ready-to-serve",,,MIXED_DISHES,50.0,1.16,10.28,0.51,,USDA_FDC_SR_LEGACY,27060,2018-04,True,,soup chunky vegetable reduced sodium canned ready to serve,3,
"Gravy, HEINZ Home Style, classic chicken",,,MIXED_DISHES,46.0,0.67,5.01,2.57,,USDA_FDC_SR_LEGACY,27061,2018-04,True,,gravy heinz home style classic chicken,3,
"Soup, beef barley, ready to serve",,,MIXED_DISHES,52.0,2.81,7.94,0.96,,USDA_FDC_SR_LEGACY,27062,2018-04,True,,soup beef barley ready to serve,3,
"Sauce, enchilada, red, mild, ready to serve",,,MIXED_DISHES,30.0,0.62,4.87,0.91,,USDA_FDC_SR_LEGACY,27063,2018-04,True,,sauce enchilada red mild ready to serve,3,
"Soup, chicken mushroom, canned, condensed",,,MIXED_DISHES,100.0,1.61,11.95,4.84,,USDA_FDC_SR_LEGACY,6149,2018-04,True,,soup chicken mushroom canned condensed,3,
"Sauce, barbecue",,,MIXED_DISHES,172.0,0.82,40.77,0.63,,USDA_FDC_SR_LEGACY,6150,2018-04,True,,sauce barbecue,3,
"Sauce, salsa, ready-to-serve",,,MIXED_DISHES,29.0,1.52,6.64,0.17,,USDA_FDC_SR_LEGACY,6164,2018-04,True,,sauce salsa ready to serve,3,
"Sauce, homemade, white, medium",,,MIXED_DISHES,147.0,3.84,9.17,10.63,,USDA_FDC_SR_LEGACY,6166,2018-04,True,,sauce homemade white medium,3,
"Sauce, homemade, white, thick",,,MIXED_DISHES,186.0,3.99,11.61,13.83,,USDA_FDC_SR_LEGACY,6167,2018-04,True,,sauce homemade white thick,3,
"Sauce, ready-to-serve, pepper or hot",,,MIXED_DISHES,11.0,0.51,1.75,0.37,,USDA_FDC_SR_LEGACY,6168,2018-04,True,,sauce ready to serve pepper or hot,3,
"Sauce, ready-to-serve, pepper, TABASCO",,,MIXED_DISHES,12.0,1.29,0.8,0.76,,USDA_FDC_SR_LEGACY,6169,2018-04,True,,sauce ready to serve pepper tabasco,3,
"Sauce, oyster, ready-to-serve",,,MIXED_DISHES,51.0,1.35,10.92,0.25,,USDA_FDC_SR_LEGACY,6176,2018-04,True,,sauce oyster ready to serve,3,
