name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Alcoholic beverage, wine, table, red",,,BEVERAGES,85.0,0.07,2.61,0.0,,USDA_FDC_SR_LEGACY,14096,2018-04,True,
"Alcoholic beverage, wine, table, white",,,BEVERAGES,82.0,0.07,2.6,0.0,,USDA_FDC_SR_LEGACY,14106,2018-04,True,
"Alcoholic beverage, wine, table, white, Chardonnay",,,BEVERAGES,84.0,0.07,2.16,0.0,,USDA_FDC_SR_LEGACY,14160,2018-04,True,
"Alcoholic beverage, wine, table, white, Chenin Blanc",,,BEVERAGES,80.0,0.07,3.31,0.0,,USDA_FDC_SR_LEGACY,14116,2018-04,True,
"Alcoholic beverage, wine, table, white, Fume Blanc",,,BEVERAGES,82.0,0.07,2.27,0.0,,USDA_FDC_SR_LEGACY,14117,2018-04,True,
"Alcoholic beverage, wine, table, white, Gewurztraminer",,,BEVERAGES,81.0,0.07,2.6,0.0,,USDA_FDC_SR_LEGACY,14124,2018-04,True,
"Alcoholic beverage, wine, table, white, Muller Thurgau",,,BEVERAGES,76.0,0.07,3.48,0.0,,USDA_FDC_SR_LEGACY,14120,2018-04,True,
"Alcoholic beverage, wine, table, white, Muscat",,,BEVERAGES,82.0,0.07,5.23,0.0,,USDA_FDC_SR_LEGACY,14140,2018-04,True,
"Alcoholic beverage, wine, table, white, Pinot Blanc",,,BEVERAGES,81.0,0.07,1.94,0.0,,USDA_FDC_SR_LEGACY,14138,2018-04,True,
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",,,BEVERAGES,83.0,0.07,2.06,0.0,,USDA_FDC_SR_LEGACY,14113,2018-04,True,
"Alcoholic beverage, wine, table, white, Riesling",,,BEVERAGES,80.0,0.07,3.74,0.0,,USDA_FDC_SR_LEGACY,14132,2018-04,True,
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",,,BEVERAGES,81.0,0.07,2.05,0.0,,USDA_FDC_SR_LEGACY,14134,2018-04,True,
"Alcoholic beverage, wine, table, white, Semillon",,,BEVERAGES,82.0,0.07,3.12,0.0,,USDA_FDC_SR_LEGACY,14126,2018-04,True,
"Alcoholic beverage, wine, table, white, late harvest",,,BEVERAGES,112.0,0.07,13.39,0.0,,USDA_FDC_SR_LEGACY,14135,2018-04,True,
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",,,BEVERAGES,108.0,0.07,11.39,0.0,,USDA_FDC_SR_LEGACY,14125,2018-04,True,
"Alcoholic beverages, beer, higher alcohol",,,BEVERAGES,58.0,0.9,0.27,0.0,,USDA_FDC_SR_LEGACY,14251,2018-04,True,
"Alcoholic beverages, wine, rose",,,BEVERAGES,83.0,0.36,3.8,0.0,,USDA_FDC_SR_LEGACY,14253,2018-04,True,
"Almond milk, unsweetened, plain, refrigerated",,,BEVERAGES,19.33,0.66,0.67,1.56,,USDA_FDC_FOUNDATION,100276,2026-04-30,True,
"Almond milk, unsweetened, plain, shelf stable",,,BEVERAGES,14.56,0.55,0.34,1.22,,USDA_FDC_FOUNDATION,14091,2026-04-30,True,
"Beverages, ABBOTT, EAS soy protein powder",,,BEVERAGES,405.0,47.62,43.94,3.57,,USDA_FDC_SR_LEGACY,14035,2018-04,True,
"Beverages, ABBOTT, EAS whey protein powder",,,BEVERAGES,385.0,66.67,17.95,5.13,,USDA_FDC_SR_LEGACY,14033,2018-04,True,
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",,,BEVERAGES,141.0,5.16,19.88,4.52,,USDA_FDC_SR_LEGACY,43528,2018-04,True,
"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink",,,BEVERAGES,105.0,3.8,16.88,2.53,,USDA_FDC_SR_LEGACY,14062,2018-04,True,
"Beverages, AMBER, hard cider",,,BEVERAGES,56.0,0.0,5.92,0.0,,USDA_FDC_SR_LEGACY,14250,2018-04,True,
"Beverages, ARIZONA, tea, ready-to-drink, lemon",,,BEVERAGES,39.0,0.0,9.77,0.0,,USDA_FDC_SR_LEGACY,14475,2018-04,True,
"Beverages, Acai berry drink, fortified",,,BEVERAGES,62.0,0.83,12.83,0.83,,USDA_FDC_SR_LEGACY,14056,2018-04,True,
"Beverages, Apple juice drink, light, fortified with vitamin C",,,BEVERAGES,22.0,0.0,5.1,0.1,,USDA_FDC_SR_LEGACY,14162,2018-04,True,
"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",,,BEVERAGES,32.0,0.0,7.84,0.05,,USDA_FDC_SR_LEGACY,14461,2018-04,True,
"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",,,BEVERAGES,52.0,5.87,2.28,2.17,,USDA_FDC_SR_LEGACY,14036,2018-04,True,
"Beverages, Carob-flavor beverage mix, powder",,,BEVERAGES,372.0,1.8,93.3,0.2,,USDA_FDC_SR_LEGACY,14168,2018-04,True,
"Beverages, Carob-flavor beverage mix, powder, prepared with whole milk",,,BEVERAGES,75.0,3.16,8.68,3.11,,USDA_FDC_SR_LEGACY,14169,2018-04,True,
"Beverages, Chocolate-flavored drink, whey and milk based",,,BEVERAGES,49.0,0.64,10.68,0.4,,USDA_FDC_SR_LEGACY,43369,2018-04,True,
"Beverages, Clam and tomato juice, canned",,,BEVERAGES,48.0,0.6,10.95,0.2,,USDA_FDC_SR_LEGACY,14187,2018-04,True,
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",,,BEVERAGES,287.0,0.08,71.6,0.01,,USDA_FDC_SR_LEGACY,44203,2018-04,True,
"Beverages, Cocoa mix, NESTLE, Hot Cocoa Mix Rich Chocolate With Marshmallows",,,BEVERAGES,400.0,2.8,75.0,15.0,,USDA_FDC_SR_LEGACY,14195,2018-04,True,
